timestamp,value
2026-07-26 04:42:03.706735,148.840877
2026-07-26 04:43:43.700299,148.840877
2026-07-26 04:45:09.490906,148.840877
2026-07-26 04:46:32.646215,148.840877
2026-07-26 04:49:06.895054,148.840877
2026-07-26 04:50:41.264364,148.840877
2026-07-26 04:51:54.320709,148.840877
2026-07-26 04:53:48.308436,148.840877
2026-07-26 04:55:05.288349,148.840877
2026-07-26 04:57:36.655825,148.840877
2026-07-26 04:57:45.388542,148.840877
2026-07-26 04:57:52.472390,342.966541
2026-07-26 04:59:06.220754,148.840877
2026-07-26 05:00:35.233546,148.840877
2026-07-26 05:01:30.016056,148.840877
2026-07-26 05:02:53.537829,148.840877
