timestamp,value
2026-08-08 13:23:36.250300,214.660385
2026-08-08 13:23:53.539811,214.682757
2026-08-08 13:24:10.842872,214.716426
2026-08-08 13:24:29.538671,214.755909
2026-08-08 13:24:47.018138,214.786524
2026-08-08 13:25:04.340339,214.820867
2026-08-08 13:25:21.610805,214.852787
2026-08-08 13:25:39.046695,214.891385
2026-08-08 13:25:57.554559,214.950095
2026-08-08 13:26:15.245628,215.005802
2026-08-08 13:26:32.469518,215.017714
2026-08-08 13:26:49.764657,215.064776
2026-08-08 13:27:07.785956,215.088593
2026-08-08 13:27:25.491256,215.145346
2026-08-08 13:27:42.818989,215.22098
2026-08-08 13:28:00.076619,215.240235
2026-08-08 13:28:17.587973,215.273555
2026-08-08 13:28:37.201432,215.295168
2026-08-08 13:28:54.751096,215.316725
2026-08-08 13:29:12.113607,215.402318
2026-08-08 13:29:29.455325,215.424414
2026-08-08 13:29:46.911374,215.455971
2026-08-08 13:30:04.557335,215.486277
2026-08-08 13:30:21.941954,215.531308
2026-08-08 13:30:39.434533,215.549195
2026-08-08 13:30:57.115448,215.60973
2026-08-08 13:31:16.405820,215.6437
2026-08-08 13:31:33.779949,215.691322
2026-08-08 13:31:51.057595,215.737572
2026-08-08 13:32:08.360571,215.777427
2026-08-08 13:32:25.861238,215.777427
2026-08-08 13:32:44.270280,215.869723
2026-08-08 13:33:01.648776,215.900276
2026-08-08 13:33:19.290301,215.940596
2026-08-08 13:33:36.633223,215.956619
2026-08-08 13:33:55.531540,230.369669
2026-08-08 13:34:13.983465,260.78408
2026-08-08 13:34:31.530581,274.323139
2026-08-08 13:34:48.770315,289.840584
2026-08-08 13:35:06.565135,305.417736
2026-08-08 13:35:26.532089,10.818202
2026-08-08 13:35:43.833252,10.96345
2026-08-08 13:36:01.387837,11.064691
2026-08-08 13:36:18.633607,11.185774
2026-08-08 13:36:36.079520,11.244032
2026-08-08 13:36:53.649378,11.275571
2026-08-08 13:37:10.940710,11.319217
2026-08-08 13:37:28.256644,11.449455
2026-08-08 13:37:45.513083,11.521019
2026-08-08 13:38:03.890302,11.565549
2026-08-08 13:38:21.547500,11.642009
2026-08-08 13:38:38.936502,11.712169
2026-08-08 13:38:56.203176,11.808167
2026-08-08 13:39:13.843555,11.920039
2026-08-08 13:39:32.533050,11.962899
2026-08-08 13:39:49.944504,12.016682
2026-08-08 13:40:07.231116,12.136856
2026-08-08 13:40:24.603118,12.196871
2026-08-08 13:40:41.880994,12.291596
2026-08-08 13:40:59.367922,12.36312
2026-08-08 13:41:16.835345,12.394789
2026-08-08 13:41:34.107816,12.453715
2026-08-08 13:41:51.672607,12.498009
2026-08-08 13:42:10.182265,12.588882
2026-08-08 13:42:27.611478,12.709897
2026-08-08 13:42:45.042520,12.759348
2026-08-08 13:43:02.369835,12.806929
2026-08-08 13:43:19.974077,12.861998
2026-08-08 13:43:38.220173,12.952154
2026-08-08 13:43:55.503443,13.004726
2026-08-08 13:44:12.924885,13.087906
2026-08-08 13:44:30.169752,13.178436
2026-08-08 13:44:48.023688,13.220511
